datetime,open,high,low,close,volume
2021-12-29 14:38:00+08:00,4914.8,4915.0,4914.4,4915.0,6.0
2021-12-29 14:39:00+08:00,4915.0,4916.6,4913.0,4913.6,141.0
2021-12-29 14:40:00+08:00,4913.8,4915.8,4911.8,4913.6,131.0
2021-12-29 14:41:00+08:00,4913.8,4916.8,4913.8,4914.6,188.0
2021-12-29 14:42:00+08:00,4914.8,4915.8,4912.0,4912.0,222.0
2021-12-29 14:43:00+08:00,4912.0,4913.4,4909.8,4910.0,229.0
2021-12-29 14:44:00+08:00,4910.2,4912.6,4908.2,4908.2,261.0
2021-12-29 14:45:00+08:00,4909.4,4911.0,4907.0,4907.8,290.0
2021-12-29 14:46:00+08:00,4907.8,4910.0,4904.0,4904.4,424.0
2021-12-29 14:47:00+08:00,4904.6,4907.6,4901.8,4903.8,456.0
2021-12-29 14:48:00+08:00,4903.8,4906.4,4902.0,4902.4,372.0
2021-12-29 14:49:00+08:00,4902.8,4907.0,4902.8,4905.8,268.0
2021-12-29 14:50:00+08:00,4906.0,4909.0,4905.2,4906.2,356.0
2021-12-29 14:51:00+08:00,4906.2,4908.0,4903.8,4905.2,306.0
2021-12-29 14:52:00+08:00,4905.2,4907.6,4905.2,4907.4,231.0
2021-12-29 14:53:00+08:00,4907.8,4908.8,4904.4,4905.2,228.0
2021-12-29 14:54:00+08:00,4905.6,4907.6,4905.6,4907.4,317.0
2021-12-29 14:55:00+08:00,4907.4,4909.0,4906.4,4906.4,490.0
2021-12-29 14:56:00+08:00,4907.0,4907.4,4902.4,4903.4,599.0
2021-12-29 14:57:00+08:00,4903.0,4905.0,4900.2,4901.8,740.0
2021-12-29 14:58:00+08:00,4902.0,4905.2,4902.0,4904.6,715.0
2021-12-29 14:59:00+08:00,4905.0,4905.6,4902.4,4903.6,748.0
2021-12-29 15:00:00+08:00,4903.0,4903.0,4903.0,4903.0,4.0
2021-12-29 15:26:00+08:00,4903.0,4903.0,4903.0,4903.0,0.0
2021-12-29 15:28:00+08:00,4903.0,4903.0,4903.0,4903.0,0.0
2021-12-29 15:36:00+08:00,4903.0,4903.0,4903.0,4903.0,0.0
2021-12-30 07:04:00+08:00,4903.0,4903.0,4903.0,4903.0,0.0
2021-12-30 09:29:00+08:00,4905.0,4905.0,4905.0,4905.0,109.0
2021-12-30 09:30:00+08:00,4904.0,4911.4,4900.2,4909.0,1305.0
2021-12-30 09:31:00+08:00,4909.0,4915.8,4908.2,4913.8,880.0
2021-12-30 09:32:00+08:00,4914.2,4914.8,4910.0,4911.4,596.0
2021-12-30 09:33:00+08:00,4911.0,4912.4,4909.2,4911.2,388.0
2021-12-30 09:34:00+08:00,4911.2,4912.6,4907.4,4907.8,451.0
2021-12-30 09:35:00+08:00,4907.2,4907.2,4899.2,4902.4,817.0
2021-12-30 09:36:00+08:00,4902.6,4909.8,4902.4,4909.6,445.0
2021-12-30 09:37:00+08:00,4909.8,4913.6,4909.4,4911.0,534.0
2021-12-30 09:38:00+08:00,4911.8,4918.0,4909.8,4917.0,651.0
2021-12-30 09:39:00+08:00,4917.0,4917.8,4914.2,4916.4,347.0
2021-12-30 09:40:00+08:00,4916.4,4918.4,4915.8,4917.8,332.0
2021-12-30 09:41:00+08:00,4917.8,4917.8,4912.2,4913.2,256.0
2021-12-30 09:42:00+08:00,4914.0,4917.0,4914.0,4915.6,259.0
2021-12-30 09:43:00+08:00,4915.6,4917.2,4913.4,4916.8,186.0
2021-12-30 09:44:00+08:00,4916.8,4920.4,4916.8,4919.0,441.0
2021-12-30 09:45:00+08:00,4919.4,4921.6,4917.6,4918.0,397.0
2021-12-30 09:46:00+08:00,4918.2,4921.4,4917.0,4920.2,309.0
2021-12-30 09:47:00+08:00,4920.2,4921.6,4919.2,4920.8,250.0
2021-12-30 09:48:00+08:00,4921.4,4921.6,4919.2,4920.2,189.0
2021-12-30 09:49:00+08:00,4919.8,4921.4,4918.2,4920.6,194.0
2021-12-30 09:50:00+08:00,4922.0,4922.2,4918.0,4920.6,359.0
2021-12-30 09:51:00+08:00,4919.8,4921.6,4918.4,4919.8,138.0
2021-12-30 09:52:00+08:00,4919.8,4923.0,4919.2,4922.0,234.0
2021-12-30 09:53:00+08:00,4922.8,4927.4,4922.8,4926.6,804.0
2021-12-30 09:54:00+08:00,4926.8,4927.6,4924.8,4925.8,471.0
2021-12-30 09:55:00+08:00,4925.8,4927.0,4924.6,4925.2,243.0
2021-12-30 09:56:00+08:00,4924.6,4926.6,4924.0,4924.2,251.0
2021-12-30 09:57:00+08:00,4924.6,4926.6,4924.4,4924.6,194.0
2021-12-30 09:58:00+08:00,4924.8,4925.8,4923.8,4925.6,217.0
2021-12-30 09:59:00+08:00,4925.4,4928.2,4925.2,4927.4,447.0
2021-12-30 10:00:00+08:00,4927.8,4930.0,4925.0,4928.8,693.0
2021-12-30 10:01:00+08:00,4929.2,4935.0,4928.8,4931.2,821.0
2021-12-30 10:02:00+08:00,4931.2,4936.0,4931.2,4935.8,458.0
2021-12-30 10:03:00+08:00,4936.2,4939.4,4935.6,4938.4,879.0
2021-12-30 10:04:00+08:00,4938.6,4942.8,4938.6,4939.6,1117.0
2021-12-30 10:05:00+08:00,4939.2,4942.0,4938.6,4940.8,704.0
2021-12-30 10:06:00+08:00,4940.6,4943.0,4938.8,4942.0,690.0
2021-12-30 10:07:00+08:00,4942.4,4944.6,4940.8,4943.6,449.0
2021-12-30 10:08:00+08:00,4943.6,4943.8,4940.8,4942.2,439.0
2021-12-30 10:09:00+08:00,4942.2,4946.0,4942.2,4945.6,565.0
2021-12-30 10:10:00+08:00,4945.8,4946.6,4941.2,4941.6,491.0
2021-12-30 10:11:00+08:00,4941.6,4942.2,4939.0,4940.0,491.0
2021-12-30 10:12:00+08:00,4940.6,4944.6,4939.0,4943.8,365.0
2021-12-30 10:13:00+08:00,4943.8,4944.2,4941.0,4942.0,228.0
2021-12-30 10:14:00+08:00,4942.0,4943.4,4939.4,4939.8,243.0
2021-12-30 10:15:00+08:00,4939.6,4942.8,4939.6,4942.4,380.0
2021-12-30 10:16:00+08:00,4942.4,4942.8,4939.2,4941.4,279.0
2021-12-30 10:17:00+08:00,4941.4,4945.2,4941.2,4945.2,395.0
2021-12-30 10:18:00+08:00,4945.6,4946.6,4943.2,4943.4,285.0
2021-12-30 10:19:00+08:00,4943.6,4943.6,4940.4,4942.2,220.0
2021-12-30 10:20:00+08:00,4942.2,4945.6,4942.2,4943.2,289.0
2021-12-30 10:21:00+08:00,4943.2,4945.0,4942.4,4942.8,197.0
2021-12-30 10:22:00+08:00,4942.8,4946.0,4942.0,4944.2,231.0
2021-12-30 10:23:00+08:00,4944.2,4947.2,4944.2,4946.4,243.0
2021-12-30 10:24:00+08:00,4947.6,4951.0,4946.8,4949.0,713.0
